subject_id,n_cycles,duration,network_n_nodes,network_n_edges,network_density,network_is_connected,network_diameter,network_average_path_length,network_global_efficiency,network_largest_component_size,network_avg_clustering,network_transitivity,network_assortativity,network_small_worldness,network_modularity,degree_LT_TA,degree_centrality_LT_TA,betweenness_centrality_LT_TA,closeness_centrality_LT_TA,eigenvector_centrality_LT_TA,pagerank_LT_TA,clustering_LT_TA,degree_LT_GL,degree_centrality_LT_GL,betweenness_centrality_LT_GL,closeness_centrality_LT_GL,eigenvector_centrality_LT_GL,pagerank_LT_GL,clustering_LT_GL,degree_LT_RF,degree_centrality_LT_RF,betweenness_centrality_LT_RF,closeness_centrality_LT_RF,eigenvector_centrality_LT_RF,pagerank_LT_RF,clustering_LT_RF,degree_LT_HAM,degree_centrality_LT_HAM,betweenness_centrality_LT_HAM,closeness_centrality_LT_HAM,eigenvector_centrality_LT_HAM,pagerank_LT_HAM,clustering_LT_HAM,degree_LT_VL,degree_centrality_LT_VL,betweenness_centrality_LT_VL,closeness_centrality_LT_VL,eigenvector_centrality_LT_VL,pagerank_LT_VL,clustering_LT_VL,degree_RT_TA,degree_centrality_RT_TA,betweenness_centrality_RT_TA,closeness_centrality_RT_TA,eigenvector_centrality_RT_TA,pagerank_RT_TA,clustering_RT_TA,degree_RT_GL,degree_centrality_RT_GL,betweenness_centrality_RT_GL,closeness_centrality_RT_GL,eigenvector_centrality_RT_GL,pagerank_RT_GL,clustering_RT_GL,degree_RT_RF,degree_centrality_RT_RF,betweenness_centrality_RT_RF,closeness_centrality_RT_RF,eigenvector_centrality_RT_RF,pagerank_RT_RF,clustering_RT_RF,degree_RT_HAM,degree_centrality_RT_HAM,betweenness_centrality_RT_HAM,closeness_centrality_RT_HAM,eigenvector_centrality_RT_HAM,pagerank_RT_HAM,clustering_RT_HAM,degree_RT_VL,degree_centrality_RT_VL,betweenness_centrality_RT_VL,closeness_centrality_RT_VL,eigenvector_centrality_RT_VL,pagerank_RT_VL,clustering_RT_VL
S19,189,185.8305,10,11,0.24444444444444444,True,6,2.7555555555555555,0.5055555555555556,,0.1,0.17647058823529413,-0.3968253968253999,0.0,0.3697027421855906,1,0.1111111111111111,0.0,0.28125,0.13779510151702182,0.04940028141566867,0.0,3,0.3333333333333333,0.5555555555555556,0.5,0.4535962945993747,0.1451519248661173,0.3333333333333333,3,0.3333333333333333,0.2361111111111111,0.375,0.36234458508886835,0.12315282673234866,0.0,3,0.3333333333333333,0.3055555555555555,0.45,0.49375964187811056,0.11230751328864651,0.3333333333333333,2,0.2222222222222222,0.5,0.45,0.21656611985307225,0.10743384384296821,0.0,2,0.2222222222222222,0.027777777777777776,0.36,0.3212617624681731,0.07904737909442797,0.0,1,0.1111111111111111,0.0,0.28125,0.044068240443134836,0.055006668566390776,0.0,3,0.3333333333333333,0.15277777777777776,0.42857142857142855,0.48244080413315193,0.11180859841972207,0.3333333333333333,3,0.3333333333333333,0.41666666666666663,0.375,0.11587741719715845,0.15089014233852566,0.0,1,0.1111111111111111,0.0,0.28125,0.044068240443134836,0.06580082143518447,0.0
S2,244,317.3505,10,11,0.24444444444444444,True,5,2.488888888888889,0.523703703703704,,0.26666666666666666,0.3,-0.39333333333333315,0.0,0.35852915118483575,4,0.4444444444444444,0.5694444444444444,0.5625,0.547831579505227,0.1340189158127556,0.3333333333333333,1,0.1111111111111111,0.0,0.375,0.09588304172774459,0.04287381537026515,0.0,2,0.2222222222222222,0.0,0.4090909090909091,0.3783252027302587,0.1308331008612574,1.0,2,0.2222222222222222,0.0,0.4090909090909091,0.3783252027302587,0.06747546690396874,1.0,4,0.4444444444444444,0.2361111111111111,0.45,0.5252114934665368,0.20816093778753259,0.3333333333333333,3,0.3333333333333333,0.6388888888888888,0.5625,0.2719500479133403,0.1320164479255221,0.0,1,0.1111111111111111,0.0,0.32142857142857145,0.18517479160885783,0.02641335677205023,0.0,1,0.1111111111111111,0.0,0.32142857142857145,0.04499341454269033,0.07593480321513704,0.0,1,0.1111111111111111,0.0,0.32142857142857145,0.04499341454269033,0.038904062966851116,0.0,3,0.3333333333333333,0.41666666666666663,0.45,0.12761122671159575,0.14336909238466025,0.0
S20,114,312.1505,10,11,0.24444444444444444,False,3,1.6666666666666667,0.7333333333333332,6.0,0.35,0.6666666666666666,0.47619047619047516,0.0,0.5473206775366487,1,0.1111111111111111,0.0,0.2314814814814815,0.06104023582363456,0.05607434128322469,0.0,1,0.1111111111111111,0.0,0.16666666666666666,2.8839731148010644e-06,0.09990000571442227,0.0,1,0.1111111111111111,0.0,0.16666666666666666,2.8839731148010644e-06,0.0771056451446965,0.0,2,0.2222222222222222,0.05555555555555555,0.25,4.6663665223890255e-06,0.12289435485530345,0.0,3,0.3333333333333333,0.0,0.3472222222222222,0.4780955753886136,0.09049540047996403,1.0,3,0.3333333333333333,0.0,0.3472222222222222,0.4780955753886136,0.0955335799979252,1.0,2,0.2222222222222222,0.05555555555555555,0.25,4.6663665223890255e-06,0.10009999428557768,0.0,4,0.4444444444444444,0.16666666666666666,0.462962962962963,0.5242352528752718,0.1457595390964239,0.5,2,0.2222222222222222,0.1111111111111111,0.3472222222222222,0.18901151175180214,0.08039527357138238,0.0,3,0.3333333333333333,0.0,0.3472222222222222,0.4780955753886136,0.13174186557107992,1.0
S21,275,302.0705,10,11,0.24444444444444444,True,6,2.8222222222222224,0.4992592592592593,,0.38333333333333336,0.35294117647058826,-0.48958333333333287,0.0,0.50968839478098,3,0.3333333333333333,0.5555555555555556,0.47368421052631576,0.4059640520773589,0.10020835337210103,0.3333333333333333,2,0.2222222222222222,0.0,0.32142857142857145,0.31684762910529923,0.08653208878560319,1.0,3,0.3333333333333333,0.38888888888888884,0.4090909090909091,0.35340821013511164,0.1453511127736063,0.3333333333333333,1,0.1111111111111111,0.0,0.25,0.06794247087655446,0.058374203188545734,0.0,2,0.2222222222222222,0.0,0.375,0.3049318532848085,0.12734833990295416,1.0,2,0.2222222222222222,0.5555555555555556,0.47368421052631576,0.35263418603202096,0.08275421732628584,0.0,2,0.2222222222222222,0.2222222222222222,0.32142857142857145,0.16919687382637494,0.07900173979091114,0.0,1,0.1111111111111111,0.0,0.3103448275862069,0.18961629240431843,0.08760819609611843,0.0,2,0.2222222222222222,0.0,0.32142857142857145,0.31684762910529923,0.08682620645572804,1.0,4,0.4444444444444444,0.5555555555555556,0.42857142857142855,0.47220607914126456,0.14599554230814601,0.16666666666666666
S22,47,121.3105,10,11,0.24444444444444444,False,1,1.0,1.0,4.0,0.7333333333333333,0.9,-0.22222222222221427,0.0,0.48073384155021553,3,0.3333333333333333,0.0,0.3333333333333333,0.49999999958483304,0.11264455796232496,1.0,0,0.0,0.0,0.0,2.0880974280257097e-53,0.018072289156626516,0.0,3,0.3333333333333333,0.0,0.3333333333333333,0.49999999958483304,0.13821116428297545,1.0,3,0.3333333333333333,0.0,0.3333333333333333,0.49999999958483304,0.09442775442569257,1.0,3,0.3333333333333333,0.0,0.3333333333333333,0.49999999958483304,0.1366442341723806,1.0,2,0.2222222222222222,0.0,0.25,1.7733420146766574e-05,0.07656608163059866,1.0,0,0.0,0.0,0.0,2.0880974280257097e-53,0.018072289156626516,0.0,2,0.2222222222222222,0.0,0.25,1.7733420146766574e-05,0.12850370726484162,1.0,3,0.3333333333333333,0.013888888888888888,0.3333333333333333,2.271254612883535e-05,0.1085873660424169,0.6666666666666666,3,0.3333333333333333,0.013888888888888888,0.3333333333333333,2.271254612883535e-05,0.16827055590551618,0.6666666666666666
S23,214,245.8505,10,11,0.24444444444444444,False,3,1.6,0.7444444444444444,6.0,0.6333333333333333,0.6,-0.03418803418803384,0.0,0.4784212738457094,1,0.1111111111111111,0.0,0.25252525252525254,0.12970945790617244,0.038442393184460695,0.0,2,0.2222222222222222,0.0,0.2222222222222222,8.988143367252453e-06,0.12160414384624035,1.0,2,0.2222222222222222,0.0,0.2222222222222222,8.988143367252453e-06,0.09696288458171637,1.0,2,0.2222222222222222,0.0,0.2222222222222222,8.988143367252453e-06,0.10930182403105959,1.0,3,0.3333333333333333,0.1111111111111111,0.39682539682539686,0.3953283952668762,0.09762299927490269,0.3333333333333333,2,0.2222222222222222,0.0,0.308641975308642,0.3527699965488487,0.06516458881204419,1.0,0,0.0,0.0,0.0,5.988317536777516e-23,0.016393442622950824,0.0,4,0.4444444444444444,0.06944444444444445,0.462962962962963,0.5375860746210294,0.18360922218599587,0.5,2,0.2222222222222222,0.0,0.308641975308642,0.3527699965488487,0.09274578352360677,1.0,4,0.4444444444444444,0.06944444444444445,0.462962962962963,0.5375860746210294,0.1781527179370229,0.5
S24,209,254.4005,10,11,0.24444444444444444,False,4,2.111111111111111,0.590277777777778,9.0,0.31666666666666665,0.3157894736842105,-0.11392405063291104,0.0,0.3753343705215109,3,0.3333333333333333,0.2222222222222222,0.5079365079365079,0.41031827551072064,0.11255301951526087,0.3333333333333333,2,0.2222222222222222,0.19444444444444442,0.4183006535947712,0.2070791730396292,0.07722767247063614,0.0,2,0.2222222222222222,0.05555555555555555,0.4183006535947712,0.27475154841361527,0.08622518608651877,0.0,2,0.2222222222222222,0.0,0.3742690058479532,0.2789665522718369,0.07220816208905588,1.0,3,0.3333333333333333,0.06944444444444445,0.4183006535947712,0.3525364096131867,0.13191928446619616,0.3333333333333333,4,0.4444444444444444,0.4444444444444444,0.5925925925925926,0.49053960861738166,0.16032008534148745,0.16666666666666666,0,0.0,0.0,0.0,9.150006893816648e-14,0.016393442622950824,0.0,3,0.3333333333333333,0.125,0.47407407407407404,0.3987893774690485,0.14534280991017798,0.3333333333333333,1,0.1111111111111111,0.0,0.2962962962962963,0.07572744980074546,0.04967442118412131,0.0,2,0.2222222222222222,0.0,0.4183006535947712,0.3252195201276988,0.14813591631359474,1.0
S25,195,186.4105,10,11,0.24444444444444444,False,2,1.3,0.85,5.0,0.6333333333333333,0.6,-0.4102564102564102,0.0,0.45972738180277295,0,0.0,0.0,0.0,2.3044101998352597e-29,0.016393442622950824,0.0,2,0.2222222222222222,0.0,0.25,8.293359913163407e-06,0.12211279274135681,1.0,3,0.3333333333333333,0.05555555555555555,0.3333333333333333,9.703948363118559e-06,0.12466833343394919,0.3333333333333333,2,0.2222222222222222,0.0,0.25,8.293359913163407e-06,0.12242870722761895,1.0,2,0.2222222222222222,0.0,0.2962962962962963,0.3651483716241528,0.06960998460925565,1.0,2,0.2222222222222222,0.0,0.2962962962962963,0.3651483716241528,0.05164527589303722,1.0,1,0.1111111111111111,0.0,0.19999999999999998,4.47168738339359e-06,0.06794863654243004,0.0,4,0.4444444444444444,0.041666666666666664,0.4444444444444444,0.5477225574362291,0.17199853793303924,0.5,2,0.2222222222222222,0.0,0.2962962962962963,0.3651483716241528,0.08636194001255262,1.0,4,0.4444444444444444,0.041666666666666664,0.4444444444444444,0.5477225574362291,0.16683234898380955,0.5
S26,149,255.5305,10,11,0.24444444444444444,True,5,2.6444444444444444,0.5059259259259261,,0.26666666666666666,0.35294117647058826,-0.0476190476190468,0.0,0.5208627792929473,3,0.3333333333333333,0.7222222222222222,0.5625,0.2744856505137741,0.08525144276451814,0.0,1,0.1111111111111111,0.0,0.3,0.044050506068201226,0.07120387146763496,0.0,1,0.1111111111111111,0.0,0.32142857142857145,0.05247190142547936,0.11142547657937103,0.0,1,0.1111111111111111,0.0,0.32142857142857145,0.05247190142547936,0.037077726821599516,0.0,3,0.3333333333333333,0.41666666666666663,0.45,0.14110023441833908,0.16377407606297034,0.0,3,0.3333333333333333,0.5,0.5,0.4785632955092678,0.07483728439249396,0.3333333333333333,2,0.2222222222222222,0.0,0.3,0.3764895239399192,0.05755039620403657,1.0,3,0.3333333333333333,0.09722222222222221,0.391304347826087,0.506212649170359,0.14761692431603216,0.6666666666666666,2,0.2222222222222222,0.2222222222222222,0.4090909090909091,0.11845514653446358,0.10298189769683652,0.0,3,0.3333333333333333,0.09722222222222221,0.391304347826087,0.506212649170359,0.14828090369450694,0.6666666666666666
S27,151,245.5205,10,11,0.24444444444444444,True,6,2.488888888888889,0.5274074074074075,,0.15,0.17647058823529413,-0.031249999999999754,0.0,0.531750584538855,3,0.3333333333333333,0.3472222222222222,0.5294117647058824,0.4761996509897269,0.10569282109973596,0.3333333333333333,2,0.2222222222222222,0.2222222222222222,0.375,0.14715749132592526,0.10905319941525335,0.0,4,0.4444444444444444,0.4583333333333333,0.5294117647058824,0.5324051058539353,0.15344942238723894,0.16666666666666666,1,0.1111111111111111,0.0,0.2903225806451613,0.09094462674332027,0.08958863898548002,0.0,2,0.2222222222222222,0.0,0.42857142857142855,0.38525219483992296,0.10117227138400882,1.0,2,0.2222222222222222,0.09722222222222221,0.45,0.2943075701695389,0.08059241053563393,0.0,2,0.2222222222222222,0.2222222222222222,0.391304347826087,0.2380975370663539,0.10663579076338107,0.0,3,0.3333333333333333,0.4305555555555555,0.5,0.3290495721461133,0.08189290658286556,0.0,1,0.1111111111111111,0.0,0.28125,0.05621003517612128,0.0873456804270119,0.0,2,0.2222222222222222,0.08333333333333333,0.42857142857142855,0.23810211599630926,0.08457685841939035,0.0
